2020-06-10 03:03:18 INFO  BatchJoin$:64 - Join result:diagonal_001.csv,parcel_015.csv,29437,91851
2020-06-10 03:03:26 INFO  BatchJoin$:64 - Join result:diagonal_001.csv,parcel_016.csv,30120,100088
2020-06-10 03:03:33 INFO  BatchJoin$:64 - Join result:diagonal_001.csv,parcel_017.csv,29838,94992
2020-06-10 03:03:40 INFO  BatchJoin$:64 - Join result:diagonal_001.csv,parcel_018.csv,29261,91029
2020-06-10 03:03:48 INFO  BatchJoin$:64 - Join result:diagonal_001.csv,parcel_019.csv,29967,96755
2020-06-10 03:03:56 INFO  BatchJoin$:64 - Join result:diagonal_001.csv,parcel_020.csv,29721,95380
2020-06-10 03:04:03 INFO  BatchJoin$:64 - Join result:diagonal_001.csv,parcel_021.csv,28827,85335
2020-06-10 03:04:10 INFO  BatchJoin$:64 - Join result:diagonal_001.csv,parcel_022.csv,28922,88577
2020-06-10 03:04:15 INFO  BatchJoin$:64 - Join result:diagonal_001.csv,parcel_023.csv,29581,91611
2020-06-10 03:04:23 INFO  BatchJoin$:64 - Join result:diagonal_001.csv,parcel_024.csv,31038,104490
2020-06-10 03:04:30 INFO  BatchJoin$:64 - Join result:diagonal_001.csv,parcel_025.csv,30185,98765
2020-06-10 03:04:39 INFO  BatchJoin$:64 - Join result:diagonal_001.csv,uniform_001.csv,3158,22440
2020-06-10 03:04:46 INFO  BatchJoin$:64 - Join result:diagonal_001.csv,uniform_002.csv,1995,14320
2020-06-10 03:04:53 INFO  BatchJoin$:64 - Join result:diagonal_001.csv,uniform_003.csv,2826,19320
2020-06-10 03:05:02 INFO  BatchJoin$:64 - Join result:diagonal_001.csv,uniform_004.csv,3632,26761
2020-06-10 03:05:08 INFO  BatchJoin$:64 - Join result:diagonal_001.csv,uniform_005.csv,1405,11403
2020-06-10 03:05:15 INFO  BatchJoin$:64 - Join result:diagonal_001.csv,uniform_006.csv,2106,15036
2020-06-10 03:05:24 INFO  BatchJoin$:64 - Join result:diagonal_001.csv,uniform_007.csv,3914,28392
2020-06-10 03:05:31 INFO  BatchJoin$:64 - Join result:diagonal_001.csv,uniform_008.csv,1533,12346
2020-06-10 03:05:38 INFO  BatchJoin$:64 - Join result:diagonal_001.csv,uniform_009.csv,2566,17134
2020-06-10 03:05:44 INFO  BatchJoin$:64 - Join result:diagonal_001.csv,uniform_010.csv,1638,12632
2020-06-10 03:05:50 INFO  BatchJoin$:64 - Join result:diagonal_001.csv,uniform_011.csv,1420,12030
2020-06-10 03:05:57 INFO  BatchJoin$:64 - Join result:diagonal_001.csv,uniform_012.csv,2297,17584
2020-06-10 03:06:03 INFO  BatchJoin$:64 - Join result:diagonal_001.csv,uniform_013.csv,1666,14172
2020-06-10 03:06:11 INFO  BatchJoin$:64 - Join result:diagonal_001.csv,uniform_014.csv,3083,22792
2020-06-10 03:06:18 INFO  BatchJoin$:64 - Join result:diagonal_001.csv,uniform_015.csv,2080,13927
2020-06-10 03:06:26 INFO  BatchJoin$:64 - Join result:diagonal_001.csv,uniform_016.csv,2320,16705
2020-06-10 03:06:33 INFO  BatchJoin$:64 - Join result:diagonal_001.csv,uniform_017.csv,2618,18079
2020-06-10 03:06:42 INFO  BatchJoin$:64 - Join result:diagonal_001.csv,uniform_018.csv,3807,23749
2020-06-10 03:06:49 INFO  BatchJoin$:64 - Join result:diagonal_001.csv,uniform_019.csv,2654,17969
2020-06-10 03:06:58 INFO  BatchJoin$:64 - Join result:diagonal_001.csv,uniform_020.csv,3169,20821
2020-06-10 03:07:04 INFO  BatchJoin$:64 - Join result:diagonal_001.csv,uniform_021.csv,1292,11295
2020-06-10 03:07:12 INFO  BatchJoin$:64 - Join result:diagonal_001.csv,uniform_022.csv,3000,20676
2020-06-10 03:07:19 INFO  BatchJoin$:64 - Join result:diagonal_001.csv,uniform_023.csv,1941,15476
2020-06-10 03:07:25 INFO  BatchJoin$:64 - Join result:diagonal_001.csv,uniform_024.csv,1899,13096
2020-06-10 03:07:32 INFO  BatchJoin$:64 - Join result:diagonal_001.csv,uniform_025.csv,1446,10759
2020-06-10 03:07:39 INFO  BatchJoin$:64 - Join result:diagonal_002.csv,diagonal_003.csv,50160,209911
2020-06-10 03:07:47 INFO  BatchJoin$:64 - Join result:diagonal_002.csv,diagonal_004.csv,60581,225634
2020-06-10 03:07:53 INFO  BatchJoin$:64 - Join result:diagonal_002.csv,diagonal_005.csv,42166,162457
2020-06-10 03:08:00 INFO  BatchJoin$:64 - Join result:diagonal_002.csv,diagonal_006.csv,72074,251308
2020-06-10 03:08:07 INFO  BatchJoin$:64 - Join result:diagonal_002.csv,diagonal_007.csv,41706,155185
2020-06-10 03:08:16 INFO  BatchJoin$:64 - Join result:diagonal_002.csv,diagonal_008.csv,96577,294732
2020-06-10 03:08:23 INFO  BatchJoin$:64 - Join result:diagonal_002.csv,diagonal_009.csv,43678,151234
2020-06-10 03:08:31 INFO  BatchJoin$:64 - Join result:diagonal_002.csv,diagonal_010.csv,80715,280245
2020-06-10 03:08:37 INFO  BatchJoin$:64 - Join result:diagonal_002.csv,diagonal_011.csv,46750,195131
2020-06-10 03:08:44 INFO  BatchJoin$:64 - Join result:diagonal_002.csv,diagonal_012.csv,48058,208771
2020-06-10 03:08:51 INFO  BatchJoin$:64 - Join result:diagonal_002.csv,diagonal_013.csv,57665,224958
2020-06-10 03:08:59 INFO  BatchJoin$:64 - Join result:diagonal_002.csv,diagonal_014.csv,85604,284452
2020-06-10 03:09:05 INFO  BatchJoin$:64 - Join result:diagonal_002.csv,diagonal_015.csv,46184,187151
2020-06-10 03:09:13 INFO  BatchJoin$:64 - Join result:diagonal_002.csv,diagonal_016.csv,67026,264354
2020-06-10 03:09:20 INFO  BatchJoin$:64 - Join result:diagonal_002.csv,diagonal_017.csv,56103,192681
2020-06-10 03:09:27 INFO  BatchJoin$:64 - Join result:diagonal_002.csv,diagonal_018.csv,94267,300398
2020-06-10 03:09:35 INFO  BatchJoin$:64 - Join result:diagonal_002.csv,diagonal_019.csv,56898,247641
2020-06-10 03:09:41 INFO  BatchJoin$:64 - Join result:diagonal_002.csv,diagonal_020.csv,68924,247197
2020-06-10 03:09:49 INFO  BatchJoin$:64 - Join result:diagonal_002.csv,diagonal_021.csv,56698,246348
2020-06-10 03:09:56 INFO  BatchJoin$:64 - Join result:diagonal_002.csv,diagonal_022.csv,55666,187286
2020-06-10 03:10:03 INFO  BatchJoin$:64 - Join result:diagonal_002.csv,diagonal_023.csv,58293,198858
2020-06-10 03:10:13 INFO  BatchJoin$:64 - Join result:diagonal_002.csv,diagonal_024.csv,99017,356591
2020-06-10 03:10:19 INFO  BatchJoin$:64 - Join result:diagonal_002.csv,diagonal_025.csv,59036,210838
2020-06-10 03:10:21 INFO  BatchJoin$:69 - Join result:diagonal_002.csv,gaussian_001.csv,error,error
2020-06-10 03:10:25 INFO  BatchJoin$:69 - Join result:diagonal_002.csv,gaussian_002.csv,error,error
2020-06-10 03:10:27 INFO  BatchJoin$:69 - Join result:diagonal_002.csv,gaussian_003.csv,error,error
2020-06-10 03:10:32 INFO  BatchJoin$:69 - Join result:diagonal_002.csv,gaussian_004.csv,error,error
2020-06-10 03:10:35 INFO  BatchJoin$:69 - Join result:diagonal_002.csv,gaussian_005.csv,error,error
2020-06-10 03:10:37 INFO  BatchJoin$:69 - Join result:diagonal_002.csv,gaussian_006.csv,error,error
2020-06-10 03:10:42 INFO  BatchJoin$:69 - Join result:diagonal_002.csv,gaussian_007.csv,error,error
2020-06-10 03:10:45 INFO  BatchJoin$:69 - Join result:diagonal_002.csv,gaussian_008.csv,error,error
2020-06-10 03:10:47 INFO  BatchJoin$:69 - Join result:diagonal_002.csv,gaussian_009.csv,error,error
2020-06-10 03:10:50 INFO  BatchJoin$:69 - Join result:diagonal_002.csv,gaussian_010.csv,error,error
2020-06-10 03:10:54 INFO  BatchJoin$:69 - Join result:diagonal_002.csv,gaussian_011.csv,error,error
2020-06-10 03:10:59 INFO  BatchJoin$:69 - Join result:diagonal_002.csv,gaussian_012.csv,error,error
2020-06-10 03:11:05 INFO  BatchJoin$:69 - Join result:diagonal_002.csv,gaussian_013.csv,error,error
2020-06-10 03:11:08 INFO  BatchJoin$:69 - Join result:diagonal_002.csv,gaussian_014.csv,error,error
2020-06-10 03:11:13 INFO  BatchJoin$:69 - Join result:diagonal_002.csv,gaussian_015.csv,error,error
2020-06-10 03:11:15 INFO  BatchJoin$:69 - Join result:diagonal_002.csv,gaussian_016.csv,error,error
2020-06-10 03:11:20 INFO  BatchJoin$:69 - Join result:diagonal_002.csv,gaussian_017.csv,error,error
2020-06-10 03:11:23 INFO  BatchJoin$:69 - Join result:diagonal_002.csv,gaussian_018.csv,error,error
2020-06-10 03:11:28 INFO  BatchJoin$:69 - Join result:diagonal_002.csv,gaussian_019.csv,error,error
2020-06-10 03:11:31 INFO  BatchJoin$:69 - Join result:diagonal_002.csv,gaussian_020.csv,error,error
2020-06-10 03:11:33 INFO  BatchJoin$:69 - Join result:diagonal_002.csv,gaussian_021.csv,error,error
2020-06-10 03:11:38 INFO  BatchJoin$:69 - Join result:diagonal_002.csv,gaussian_022.csv,error,error
2020-06-10 03:11:40 INFO  BatchJoin$:69 - Join result:diagonal_002.csv,gaussian_023.csv,error,error
2020-06-10 03:11:43 INFO  BatchJoin$:69 - Join result:diagonal_002.csv,gaussian_024.csv,error,error
2020-06-10 03:11:45 INFO  BatchJoin$:69 - Join result:diagonal_002.csv,gaussian_025.csv,error,error
2020-06-10 03:11:54 INFO  BatchJoin$:64 - Join result:diagonal_002.csv,parcel_001.csv,32073,103297
2020-06-10 03:12:00 INFO  BatchJoin$:64 - Join result:diagonal_002.csv,parcel_002.csv,32297,105632
2020-06-10 03:12:09 INFO  BatchJoin$:64 - Join result:diagonal_002.csv,parcel_003.csv,34601,122083
2020-06-10 03:12:17 INFO  BatchJoin$:64 - Join result:diagonal_002.csv,parcel_004.csv,33609,113472
2020-06-10 03:12:24 INFO  BatchJoin$:64 - Join result:diagonal_002.csv,parcel_005.csv,31929,100260
2020-06-10 03:12:30 INFO  BatchJoin$:64 - Join result:diagonal_002.csv,parcel_006.csv,30694,95413
2020-06-10 03:12:37 INFO  BatchJoin$:64 - Join result:diagonal_002.csv,parcel_007.csv,32464,106352
2020-06-10 03:12:45 INFO  BatchJoin$:64 - Join result:diagonal_002.csv,parcel_008.csv,35688,135654
2020-06-10 03:12:54 INFO  BatchJoin$:64 - Join result:diagonal_002.csv,parcel_009.csv,34798,118743
2020-06-10 03:13:01 INFO  BatchJoin$:64 - Join result:diagonal_002.csv,parcel_010.csv,32709,109459
2020-06-10 03:13:08 INFO  BatchJoin$:64 - Join result:diagonal_002.csv,parcel_011.csv,31544,98960
2020-06-10 03:13:14 INFO  BatchJoin$:64 - Join result:diagonal_002.csv,parcel_012.csv,31584,100846
2020-06-10 03:13:21 INFO  BatchJoin$:64 - Join result:diagonal_002.csv,parcel_013.csv,32913,113113
2020-06-10 03:13:28 INFO  BatchJoin$:64 - Join result:diagonal_002.csv,parcel_014.csv,34179,123148
2020-06-10 03:13:35 INFO  BatchJoin$:64 - Join result:diagonal_002.csv,parcel_015.csv,32070,102470
2020-06-10 03:13:43 INFO  BatchJoin$:64 - Join result:diagonal_002.csv,parcel_016.csv,33405,113556
2020-06-10 03:13:50 INFO  BatchJoin$:64 - Join result:diagonal_002.csv,parcel_017.csv,32846,108940
2020-06-10 03:13:57 INFO  BatchJoin$:64 - Join result:diagonal_002.csv,parcel_018.csv,32300,105739
2020-06-10 03:14:05 INFO  BatchJoin$:64 - Join result:diagonal_002.csv,parcel_019.csv,33220,111814
2020-06-10 03:14:14 INFO  BatchJoin$:64 - Join result:diagonal_002.csv,parcel_020.csv,32945,107683
2020-06-10 03:14:20 INFO  BatchJoin$:64 - Join result:diagonal_002.csv,parcel_021.csv,31396,98098
2020-06-10 03:14:27 INFO  BatchJoin$:64 - Join result:diagonal_002.csv,parcel_022.csv,31715,100838
2020-06-10 03:14:33 INFO  BatchJoin$:64 - Join result:diagonal_002.csv,parcel_023.csv,32269,104272
2020-06-10 03:14:42 INFO  BatchJoin$:64 - Join result:diagonal_002.csv,parcel_024.csv,34506,121565
2020-06-10 03:14:49 INFO  BatchJoin$:64 - Join result:diagonal_002.csv,parcel_025.csv,33119,113076
2020-06-10 03:14:58 INFO  BatchJoin$:64 - Join result:diagonal_002.csv,uniform_001.csv,4042,27373
2020-06-10 03:15:05 INFO  BatchJoin$:64 - Join result:diagonal_002.csv,uniform_002.csv,2524,17969
2020-06-10 03:15:12 INFO  BatchJoin$:64 - Join result:diagonal_002.csv,uniform_003.csv,3801,24891
2020-06-10 03:15:20 INFO  BatchJoin$:64 - Join result:diagonal_002.csv,uniform_004.csv,4702,33579
2020-06-10 03:15:28 INFO  BatchJoin$:64 - Join result:diagonal_002.csv,uniform_005.csv,1859,14208
2020-06-10 03:15:35 INFO  BatchJoin$:64 - Join result:diagonal_002.csv,uniform_006.csv,2623,18041
2020-06-10 03:15:43 INFO  BatchJoin$:64 - Join result:diagonal_002.csv,uniform_007.csv,4988,34907
2020-06-10 03:15:50 INFO  BatchJoin$:64 - Join result:diagonal_002.csv,uniform_008.csv,2060,16015
2020-06-10 03:15:57 INFO  BatchJoin$:64 - Join result:diagonal_002.csv,uniform_009.csv,3369,21614
2020-06-10 03:16:03 INFO  BatchJoin$:64 - Join result:diagonal_002.csv,uniform_010.csv,2144,15573
2020-06-10 03:16:10 INFO  BatchJoin$:64 - Join result:diagonal_002.csv,uniform_011.csv,2006,15326
2020-06-10 03:16:17 INFO  BatchJoin$:64 - Join result:diagonal_002.csv,uniform_012.csv,2953,22088
2020-06-10 03:16:23 INFO  BatchJoin$:64 - Join result:diagonal_002.csv,uniform_013.csv,2211,18034
2020-06-10 03:16:32 INFO  BatchJoin$:64 - Join result:diagonal_002.csv,uniform_014.csv,3939,28144
2020-06-10 03:16:40 INFO  BatchJoin$:64 - Join result:diagonal_002.csv,uniform_015.csv,2760,18287
2020-06-10 03:16:47 INFO  BatchJoin$:64 - Join result:diagonal_002.csv,uniform_016.csv,3081,21792
2020-06-10 03:16:55 INFO  BatchJoin$:64 - Join result:diagonal_002.csv,uniform_017.csv,3380,22676
2020-06-10 03:17:04 INFO  BatchJoin$:64 - Join result:diagonal_002.csv,uniform_018.csv,4903,30300
2020-06-10 03:17:12 INFO  BatchJoin$:64 - Join result:diagonal_002.csv,uniform_019.csv,3518,23275
2020-06-10 03:17:20 INFO  BatchJoin$:64 - Join result:diagonal_002.csv,uniform_020.csv,4099,26336
2020-06-10 03:17:26 INFO  BatchJoin$:64 - Join result:diagonal_002.csv,uniform_021.csv,1677,14427
2020-06-10 03:17:35 INFO  BatchJoin$:64 - Join result:diagonal_002.csv,uniform_022.csv,3643,25983
2020-06-10 03:17:41 INFO  BatchJoin$:64 - Join result:diagonal_002.csv,uniform_023.csv,2573,19133
2020-06-10 03:17:47 INFO  BatchJoin$:64 - Join result:diagonal_002.csv,uniform_024.csv,2491,16792
2020-06-10 03:17:54 INFO  BatchJoin$:64 - Join result:diagonal_002.csv,uniform_025.csv,1974,14209
2020-06-10 03:18:02 INFO  BatchJoin$:64 - Join result:diagonal_003.csv,diagonal_004.csv,37509,164893
2020-06-10 03:18:07 INFO  BatchJoin$:64 - Join result:diagonal_003.csv,diagonal_005.csv,24991,118845
2020-06-10 03:18:13 INFO  BatchJoin$:64 - Join result:diagonal_003.csv,diagonal_006.csv,43511,176959
2020-06-10 03:18:20 INFO  BatchJoin$:64 - Join result:diagonal_003.csv,diagonal_007.csv,24490,113152
2020-06-10 03:18:27 INFO  BatchJoin$:64 - Join result:diagonal_003.csv,diagonal_008.csv,53075,192349
2020-06-10 03:18:34 INFO  BatchJoin$:64 - Join result:diagonal_003.csv,diagonal_009.csv,26348,112592
2020-06-10 03:18:41 INFO  BatchJoin$:64 - Join result:diagonal_003.csv,diagonal_010.csv,47525,197981
2020-06-10 03:18:47 INFO  BatchJoin$:64 - Join result:diagonal_003.csv,diagonal_011.csv,29134,149614
2020-06-10 03:18:53 INFO  BatchJoin$:64 - Join result:diagonal_003.csv,diagonal_012.csv,34075,171829
2020-06-10 03:18:59 INFO  BatchJoin$:64 - Join result:diagonal_003.csv,diagonal_013.csv,38269,182370
2020-06-10 03:19:06 INFO  BatchJoin$:64 - Join result:diagonal_003.csv,diagonal_014.csv,49505,197680
2020-06-10 03:19:12 INFO  BatchJoin$:64 - Join result:diagonal_003.csv,diagonal_015.csv,27943,144926
2020-06-10 03:19:20 INFO  BatchJoin$:64 - Join result:diagonal_003.csv,diagonal_016.csv,41997,205296
2020-06-10 03:19:26 INFO  BatchJoin$:64 - Join result:diagonal_003.csv,diagonal_017.csv,31842,136670
2020-06-10 03:19:34 INFO  BatchJoin$:64 - Join result:diagonal_003.csv,diagonal_018.csv,53852,200382
2020-06-10 03:19:41 INFO  BatchJoin$:64 - Join result:diagonal_003.csv,diagonal_019.csv,41084,211556
2020-06-10 03:19:47 INFO  BatchJoin$:64 - Join result:diagonal_003.csv,diagonal_020.csv,41574,181822
2020-06-10 03:19:55 INFO  BatchJoin$:64 - Join result:diagonal_003.csv,diagonal_021.csv,37113,187014
2020-06-10 03:20:01 INFO  BatchJoin$:64 - Join result:diagonal_003.csv,diagonal_022.csv,32650,134126
2020-06-10 03:20:07 INFO  BatchJoin$:64 - Join result:diagonal_003.csv,diagonal_023.csv,33414,137486
2020-06-10 03:20:15 INFO  BatchJoin$:64 - Join result:diagonal_003.csv,diagonal_024.csv,58853,257048
2020-06-10 03:20:20 INFO  BatchJoin$:64 - Join result:diagonal_003.csv,diagonal_025.csv,37345,168262
2020-06-10 03:20:26 INFO  BatchJoin$:69 - Join result:diagonal_003.csv,gaussian_001.csv,error,error
2020-06-10 03:20:31 INFO  BatchJoin$:69 - Join result:diagonal_003.csv,gaussian_002.csv,error,error
2020-06-10 03:20:33 INFO  BatchJoin$:69 - Join result:diagonal_003.csv,gaussian_003.csv,error,error
2020-06-10 03:20:37 INFO  BatchJoin$:69 - Join result:diagonal_003.csv,gaussian_004.csv,error,error
2020-06-10 03:20:42 INFO  BatchJoin$:69 - Join result:diagonal_003.csv,gaussian_005.csv,error,error
2020-06-10 03:20:45 INFO  BatchJoin$:69 - Join result:diagonal_003.csv,gaussian_006.csv,error,error
2020-06-10 03:20:47 INFO  BatchJoin$:69 - Join result:diagonal_003.csv,gaussian_007.csv,error,error
2020-06-10 03:20:52 INFO  BatchJoin$:69 - Join result:diagonal_003.csv,gaussian_008.csv,error,error
2020-06-10 03:20:55 INFO  BatchJoin$:69 - Join result:diagonal_003.csv,gaussian_009.csv,error,error
2020-06-10 03:20:57 INFO  BatchJoin$:69 - Join result:diagonal_003.csv,gaussian_010.csv,error,error
2020-06-10 03:21:02 INFO  BatchJoin$:69 - Join result:diagonal_003.csv,gaussian_011.csv,error,error
2020-06-10 03:21:04 INFO  BatchJoin$:69 - Join result:diagonal_003.csv,gaussian_012.csv,error,error
2020-06-10 03:21:10 INFO  BatchJoin$:69 - Join result:diagonal_003.csv,gaussian_013.csv,error,error
2020-06-10 03:21:12 INFO  BatchJoin$:69 - Join result:diagonal_003.csv,gaussian_014.csv,error,error
2020-06-10 03:21:14 INFO  BatchJoin$:69 - Join result:diagonal_003.csv,gaussian_015.csv,error,error
2020-06-10 03:21:16 INFO  BatchJoin$:69 - Join result:diagonal_003.csv,gaussian_016.csv,error,error
2020-06-10 03:21:20 INFO  BatchJoin$:69 - Join result:diagonal_003.csv,gaussian_017.csv,error,error
2020-06-10 03:21:22 INFO  BatchJoin$:69 - Join result:diagonal_003.csv,gaussian_018.csv,error,error
2020-06-10 03:21:27 INFO  BatchJoin$:69 - Join result:diagonal_003.csv,gaussian_019.csv,error,error
2020-06-10 03:21:29 INFO  BatchJoin$:69 - Join result:diagonal_003.csv,gaussian_020.csv,error,error
2020-06-10 03:21:34 INFO  BatchJoin$:69 - Join result:diagonal_003.csv,gaussian_021.csv,error,error
2020-06-10 03:21:39 INFO  BatchJoin$:69 - Join result:diagonal_003.csv,gaussian_022.csv,error,error
2020-06-10 03:21:44 INFO  BatchJoin$:69 - Join result:diagonal_003.csv,gaussian_023.csv,error,error
2020-06-10 03:21:46 INFO  BatchJoin$:69 - Join result:diagonal_003.csv,gaussian_024.csv,error,error
2020-06-10 03:21:50 INFO  BatchJoin$:69 - Join result:diagonal_003.csv,gaussian_025.csv,error,error
2020-06-10 03:21:58 INFO  BatchJoin$:64 - Join result:diagonal_003.csv,parcel_001.csv,27921,85049
