dataset_name,cardinality,mbrAreaAvg(D1),lenXAvg(D1),lenYAvg(D1),E0,E2
Diagonal_eny_005.csv,14336,1.95E-07,1.30E-04,1.50E-03,1.2585,1.443
Diagonal_eny_006.csv,21504,3.38E-08,4.50E-05,7.50E-04,1.169,1.246
DiagonalRot_001.csv,10752,1.63E-07,2.50E-04,6.50E-04,1.17,1.232
DiagonalRot_002.csv,17920,2.50E-06,2.50E-03,1.00E-03,1.4855,1.5465
DiagonalRot_003.csv,19712,3.15E-09,9.00E-05,3.50E-05,1.0865,1.1435
DiagonalRot_004.csv,16128,1.50E-06,1.00E-03,1.50E-03,1.3415,1.5255
DiagonalRot_005.csv,10752,1.00E-09,5.00E-05,2.00E-05,1.0305,1.065
DiagonalRot_006.csv,17920,2.10E-07,7.00E-04,3.00E-04,1.131,1.229
DiagonalRot_enx_001.csv,12544,3.15E-08,7.00E-04,4.50E-05,1.0735,1.186
DiagonalRot_enx_002.csv,25088,6.65E-08,9.50E-04,7.00E-05,1.252,1.2515
DiagonalRot_enx_003.csv,8960,1.13E-06,2.50E-03,4.50E-04,1.502,1.3605
DiagonalRot_enx_004.csv,19712,1.60E-08,8.00E-04,2.00E-05,1.1975,1.2125
DiagonalRot_enx_005.csv,12544,1.40E-07,2.00E-03,7.00E-05,1.3155,1.214
DiagonalRot_enx_006.csv,25088,1.20E-06,2.00E-03,6.00E-04,1.4175,1.4615
DiagonalRot_eny_001.csv,14336,1.75E-07,7.00E-05,2.50E-03,1.38,1.457
DiagonalRot_eny_002.csv,21504,1.95E-07,1.30E-04,1.50E-03,1.2625,1.195
DiagonalRot_eny_003.csv,21504,3.38E-08,4.50E-05,7.50E-04,1.185,1.321
DiagonalRot_eny_004.csv,8960,4.80E-08,6.00E-05,8.00E-04,1.114,1.134
DiagonalRot_eny_005.csv,14336,1.05E-07,3.00E-05,3.50E-03,1.3575,1.445
DiagonalRot_eny_006.csv,16128,4.00E-07,1.00E-04,4.00E-03,1.3335,1.4705
Gauss_001.csv,16128,1.63E-07,2.50E-04,6.50E-04,1.277,1.3545
Gauss_002.csv,10752,2.50E-06,2.50E-03,1.00E-03,1.557,1.688
Gauss_003.csv,17920,3.15E-09,9.00E-05,3.50E-05,0.9545,1.06
Gauss_004.csv,21504,1.50E-06,1.00E-03,1.50E-03,1.5895,1.654
Gauss_005.csv,16128,1.00E-09,5.00E-05,2.00E-05,0.9105,1.013
Gauss_006.csv,10752,2.10E-07,7.00E-04,3.00E-04,1.243,1.336
Gauss_enx_001.csv,19712,3.15E-08,7.00E-04,4.50E-05,1.178,1.2815
Gauss_enx_002.csv,12544,6.65E-08,9.50E-04,7.00E-05,1.194,1.306
Gauss_enx_003.csv,25088,1.13E-06,2.50E-03,4.50E-04,1.5705,1.6455
Gauss_enx_004.csv,17920,1.60E-08,8.00E-04,2.00E-05,1.1745,1.2715
Gauss_enx_005.csv,19712,1.40E-07,2.00E-03,7.00E-05,1.3405,1.471
Gauss_enx_006.csv,12544,1.20E-06,2.00E-03,6.00E-04,1.4835,1.5775
Gauss_eny_001.csv,8960,1.75E-07,7.00E-05,2.50E-03,1.3135,1.4075
Gauss_eny_002.csv,14336,1.95E-07,1.30E-04,1.50E-03,1.3025,1.42
Gauss_eny_003.csv,21504,3.38E-08,4.50E-05,7.50E-04,1.1955,1.333
Gauss_eny_004.csv,25088,4.80E-08,6.00E-05,8.00E-04,1.2415,1.342
Gauss_eny_005.csv,8960,1.05E-07,3.00E-05,3.50E-03,1.328,1.4355
Gauss_eny_006.csv,14336,4.00E-07,1.00E-04,4.00E-03,1.4195,1.542
Parcel_001.csv,17921,3.11E-05,3.98E-03,3.95E-03,1.9285,1.963
Parcel_002.csv,19714,4.58E-05,6.28E-03,6.24E-03,1.9835,1.985
Parcel_003.csv,12545,2.41E-05,5.64E-03,4.26E-03,1.854,1.94
Parcel_004.csv,25089,1.22E-05,2.32E-03,2.32E-03,1.9125,1.9245
Parcel_005.csv,8962,1.01E-04,1.36E-02,7.42E-03,1.985,1.99
Parcel_006.csv,14337,3.94E-05,5.85E-03,5.86E-03,1.928,1.961
Parcel_007.csv,21505,1.96E-05,4.32E-03,4.43E-03,1.8925,1.9495
Parcel_008.csv,21505,3.36E-05,5.64E-03,5.67E-03,1.943,1.97
Parcel_009.csv,16130,5.03E-05,5.77E-03,5.75E-03,1.968,1.981
Parcel_010.csv,10753,5.19E-05,6.46E-03,6.43E-03,1.9205,1.9645
Parcel_011.csv,17921,5.04E-05,7.42E-03,6.79E-03,1.9905,1.9865
Parcel_012.csv,19714,1.55E-05,2.66E-03,2.71E-03,1.916,1.8065
Parcel_013.csv,12545,2.40E-05,5.64E-03,4.26E-03,1.8535,1.94
Parcel_014.csv,25089,3.60E-05,5.53E-03,5.54E-03,1.9845,1.9845
Parcel_015.csv,8961,6.29E-05,7.82E-03,7.88E-03,1.9455,1.9655
Parcel_016.csv,14338,2.95E-05,5.24E-03,5.31E-03,1.9215,1.9475
Parcel_017.csv,16129,4.48E-05,5.56E-03,5.51E-03,1.952,1.9755
Parcel_018.csv,10753,7.53E-05,5.73E-03,5.67E-03,1.9725,1.984
Uniform_001.csv,21504,2.10E-07,7.00E-04,3.00E-04,1.3545,1.5485
Uniform_002.csv,16128,1.50E-06,1.00E-03,1.50E-03,1.713,1.795
Uniform_003.csv,10752,1.00E-09,5.00E-05,2.00E-05,0.9965,1.058
Uniform_004.csv,21504,1.63E-07,2.50E-04,6.50E-04,1.3295,1.321
Uniform_005.csv,16128,2.50E-06,2.50E-03,1.00E-03,1.7565,1.8295
Uniform_006.csv,25088,3.15E-09,9.00E-05,3.50E-05,1.086,1.0845
Uniform_enx_001.csv,17920,1.20E-06,2.00E-03,6.00E-04,1.682,1.7565
Uniform_enx_002.csv,19712,1.60E-08,8.00E-04,2.00E-05,1.246,1.2385
Uniform_enx_003.csv,12544,1.40E-07,2.00E-03,7.00E-05,1.3725,1.4765
Uniform_enx_004.csv,17920,3.15E-08,7.00E-04,4.50E-05,1.2375,1.2285
Uniform_enx_005.csv,19712,6.65E-08,9.50E-04,7.00E-05,1.2945,1.2965
Uniform_enx_006.csv,7168,1.13E-06,2.50E-03,4.50E-04,1.4715,1.6875
Uniform_eny_001.csv,25088,1.05E-07,3.00E-05,3.50E-03,1.4445,1.472
Uniform_eny_002.csv,8960,4.00E-07,1.00E-04,4.00E-03,1.442,1.458
Uniform_eny_003.csv,14336,4.80E-08,6.00E-05,8.00E-04,1.274,1.3925
Uniform_eny_004.csv,25088,1.75E-07,7.00E-05,2.50E-03,1.4275,1.455
Uniform_eny_005.csv,8960,1.95E-07,1.30E-04,1.50E-03,1.344,1.4735
Uniform_eny_006.csv,16128,3.38E-08,4.50E-05,7.50E-04,1.2395,1.229
